Real_Date,val,RegionName,field,RegionLat,RegionLon,source,Real_Date
2014-09-11,6.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2014-09-11
2014-10-11,42.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2014-10-11
2014-11-10,7.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2014-11-10
2014-12-10,8.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2014-12-10
2015-01-09,7.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-01-09
2015-02-08,8.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-02-08
2015-03-10,4.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-03-10
2015-04-09,20.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-04-09
2015-05-09,13.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-05-09
2015-06-08,14.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-06-08
2015-07-08,20.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-07-08
2015-08-07,6.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-08-07
2015-09-12,4.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-09-12
2015-10-12,3.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-10-12
2015-11-11,4.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-11-11
2015-12-11,9.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2015-12-11
2016-01-10,11.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2016-01-10
2016-02-09,7.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2016-02-09
2016-03-10,8.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2016-03-10
2016-04-09,11.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2016-04-09
2016-05-09,22.0,Addis Ababa,forecast_hmis_indicator_3199,8.98048300125,38.7855383451,forecast,2016-05-09
